# x	y	u	v	flags	mask
7.1100e+02	1.9590e+03	1.3309e+00	1.9882e-01	0.0000e+00	0.0000e+00
7.5900e+02	1.9590e+03	1.2683e+00	3.1438e-01	0.0000e+00	0.0000e+00
8.0700e+02	1.9590e+03	6.9034e-01	3.0536e-01	0.0000e+00	0.0000e+00
8.5500e+02	1.9590e+03	9.1034e-01	-1.1341e+00	0.0000e+00	0.0000e+00
9.0300e+02	1.9590e+03	-5.3625e-01	-4.5659e-01	0.0000e+00	0.0000e+00
9.5100e+02	1.9590e+03	-1.0926e+00	2.2678e-01	0.0000e+00	0.0000e+00
9.9900e+02	1.9590e+03	-1.0129e+00	7.6537e-01	0.0000e+00	0.0000e+00
1.0470e+03	1.9590e+03	-1.0162e+00	8.5079e-01	0.0000e+00	0.0000e+00
1.0950e+03	1.9590e+03	-5.0946e-01	9.7200e-01	0.0000e+00	0.0000e+00
1.1430e+03	1.9590e+03	-6.2127e-01	6.6642e-01	0.0000e+00	0.0000e+00
1.1910e+03	1.9590e+03	-1.1715e+00	4.2659e-01	0.0000e+00	0.0000e+00
1.2390e+03	1.9590e+03	-8.3217e-01	8.2111e-02	0.0000e+00	0.0000e+00
1.2870e+03	1.9590e+03	-2.6890e-01	-1.5107e-01	0.0000e+00	0.0000e+00
1.3350e+03	1.9590e+03	1.9439e-01	-8.6961e-02	0.0000e+00	0.0000e+00
1.3830e+03	1.9590e+03	6.1092e-01	1.6758e-01	0.0000e+00	0.0000e+00
1.4310e+03	1.9590e+03	9.3339e-01	6.7771e-01	0.0000e+00	0.0000e+00
1.4790e+03	1.9590e+03	1.1768e+00	1.3446e+00	0.0000e+00	0.0000e+00
1.5270e+03	1.9590e+03	9.3821e-01	8.7958e-01	0.0000e+00	0.0000e+00
1.5750e+03	1.9590e+03	1.6248e+00	1.3256e-01	0.0000e+00	0.0000e+00
1.6230e+03	1.9590e+03	1.3723e+00	2.8654e-02	0.0000e+00	0.0000e+00
1.6710e+03	1.9590e+03	1.1155e+00	1.8411e-01	0.0000e+00	0.0000e+00
1.7190e+03	1.9590e+03	7.1688e-01	3.5326e-01	0.0000e+00	0.0000e+00
1.7670e+03	1.9590e+03	2.3199e-01	6.7228e-01	0.0000e+00	0.0000e+00
1.8150e+03	1.9590e+03	-1.1159e+00	4.2729e-01	0.0000e+00	0.0000e+00
1.8630e+03	1.9590e+03	-1.4909e+00	-5.6685e-01	0.0000e+00	0.0000e+00
1.9110e+03	1.9590e+03	-1.2751e+00	-6.0253e-01	0.0000e+00	0.0000e+00
1.9590e+03	1.9590e+03	-1.3006e+00	-3.9905e-01	0.0000e+00	0.0000e+00
2.0070e+03	1.9590e+03	-1.3583e+00	-3.3543e-01	0.0000e+00	0.0000e+00
3.9000e+01	1.9110e+03	-1.6258e+00	-8.0511e-01	0.0000e+00	0.0000e+00
8.7000e+01	1.9110e+03	-2.8047e+00	-8.6541e-01	0.0000e+00	0.0000e+00
1.3500e+02	1.9110e+03	-1.5968e+00	9.6534e-02	0.0000e+00	0.0000e+00
1.8300e+02	1.9110e+03	-5.8363e-01	-9.3592e-01	0.0000e+00	0.0000e+00
2.3100e+02	1.9110e+03	-3.1616e-01	-1.0203e+00	0.0000e+00	0.0000e+00
2.7900e+02	1.9110e+03	-3.0527e-01	5.2786e-01	0.0000e+00	0.0000e+00
3.2700e+02	1.9110e+03	1.5249e-01	9.3158e-01	0.0000e+00	0.0000e+00
3.7500e+02	1.9110e+03	7.3380e-01	6.8284e-01	0.0000e+00	0.0000e+00
4.2300e+02	1.9110e+03	6.4752e-01	5.3567e-02	0.0000e+00	0.0000e+00
4.7100e+02	1.9110e+03	9.7770e-01	-9.2375e-01	0.0000e+00	0.0000e+00
5.1900e+02	1.9110e+03	1.7622e+00	-2.9444e-01	0.0000e+00	0.0000e+00
5.6700e+02	1.9110e+03	1.8954e+00	8.6396e-01	0.0000e+00	0.0000e+00
6.1500e+02	1.9110e+03	1.4933e+00	9.6818e-01	0.0000e+00	0.0000e+00
6.6300e+02	1.9110e+03	1.5235e+00	5.7637e-01	0.0000e+00	0.0000e+00
7.1100e+02	1.9110e+03	1.4467e+00	3.3894e-01	0.0000e+00	0.0000e+00
7.5900e+02	1.9110e+03	1.1398e+00	3.3545e-01	0.0000e+00	0.0000e+00
8.0700e+02	1.9110e+03	7.3927e-01	-2.8694e-01	0.0000e+00	0.0000e+00
8.5500e+02	1.9110e+03	1.0070e+00	-3.9127e-01	0.0000e+00	0.0000e+00
9.0300e+02	1.9110e+03	3.4595e-01	-3.6752e-01	0.0000e+00	0.0000e+00
9.5100e+02	1.9110e+03	-3.1777e-01	-1.7765e-01	0.0000e+00	0.0000e+00
9.9900e+02	1.9110e+03	-3.7826e-01	6.4836e-01	0.0000e+00	0.0000e+00
1.0470e+03	1.9110e+03	-6.7484e-01	1.1924e+00	0.0000e+00	0.0000e+00
1.0950e+03	1.9110e+03	9.9542e-03	1.1985e+00	0.0000e+00	0.0000e+00
1.1430e+03	1.9110e+03	-5.8117e-02	5.4130e-01	0.0000e+00	0.0000e+00
1.1910e+03	1.9110e+03	7.3897e-02	2.4401e-01	0.0000e+00	0.0000e+00
1.2390e+03	1.9110e+03	2.8813e-01	1.0018e-01	0.0000e+00	0.0000e+00
1.2870e+03	1.9110e+03	1.4191e-01	1.4575e-01	0.0000e+00	0.0000e+00
1.3350e+03	1.9110e+03	1.6547e-01	3.0398e-02	0.0000e+00	0.0000e+00
1.3830e+03	1.9110e+03	3.0234e-01	6.2171e-02	0.0000e+00	0.0000e+00
1.4310e+03	1.9110e+03	4.9399e-01	3.9438e-01	0.0000e+00	0.0000e+00
1.4790e+03	1.9110e+03	3.8817e-01	8.0776e-01	0.0000e+00	0.0000e+00
1.5270e+03	1.9110e+03	4.9516e-01	8.2054e-01	0.0000e+00	0.0000e+00
1.5750e+03	1.9110e+03	1.2615e+00	3.7143e-01	0.0000e+00	0.0000e+00
1.6230e+03	1.9110e+03	1.2448e+00	1.2729e-02	0.0000e+00	0.0000e+00
1.6710e+03	1.9110e+03	1.0319e+00	7.9609e-02	0.0000e+00	0.0000e+00
1.7190e+03	1.9110e+03	5.1634e-01	1.1364e-01	0.0000e+00	0.0000e+00
1.7670e+03	1.9110e+03	-1.4632e-01	7.1601e-02	0.0000e+00	0.0000e+00
1.8150e+03	1.9110e+03	-9.1634e-01	-2.9929e-01	0.0000e+00	0.0000e+00
1.8630e+03	1.9110e+03	-1.2048e+00	-4.1433e-01	0.0000e+00	0.0000e+00
1.9110e+03	1.9110e+03	-1.3058e+00	-5.5401e-01	0.0000e+00	0.0000e+00
1.9590e+03	1.9110e+03	-1.3285e+00	-5.6263e-01	0.0000e+00	0.0000e+00
2.0070e+03	1.9110e+03	-1.2126e+00	-6.1182e-01	0.0000e+00	0.0000e+00
3.9000e+01	1.8630e+03	-1.1755e+00	-8.0845e-01	0.0000e+00	0.0000e+00
8.7000e+01	1.8630e+03	-1.7731e-01	-9.4910e-01	0.0000e+00	0.0000e+00
1.3500e+02	1.8630e+03	1.2089e+00	1.2808e+00	0.0000e+00	0.0000e+00
1.8300e+02	1.8630e+03	1.3957e+00	2.5972e-01	0.0000e+00	0.0000e+00
2.3100e+02	1.8630e+03	1.9792e+00	-3.8193e-02	0.0000e+00	0.0000e+00
2.7900e+02	1.8630e+03	2.1399e+00	4.0752e-01	0.0000e+00	0.0000e+00
3.2700e+02	1.8630e+03	1.7782e+00	5.1326e-01	0.0000e+00	0.0000e+00
3.7500e+02	1.8630e+03	2.0694e+00	2.3481e-01	0.0000e+00	0.0000e+00
4.2300e+02	1.8630e+03	2.0402e+00	-3.0467e-01	0.0000e+00	0.0000e+00
4.7100e+02	1.8630e+03	2.0863e+00	-7.1813e-01	0.0000e+00	0.0000e+00
5.1900e+02	1.8630e+03	2.6096e+00	-5.4562e-01	0.0000e+00	0.0000e+00
5.6700e+02	1.8630e+03	2.6173e+00	6.3834e-01	0.0000e+00	0.0000e+00
6.1500e+02	1.8630e+03	1.9318e+00	7.9674e-01	0.0000e+00	0.0000e+00
6.6300e+02	1.8630e+03	1.7504e+00	5.3723e-01	0.0000e+00	0.0000e+00
7.1100e+02	1.8630e+03	1.6101e+00	3.5436e-01	0.0000e+00	0.0000e+00
7.5900e+02	1.8630e+03	1.2197e+00	3.2482e-01	0.0000e+00	0.0000e+00
8.0700e+02	1.8630e+03	1.0195e+00	3.1246e-01	0.0000e+00	0.0000e+00
8.5500e+02	1.8630e+03	1.3549e+00	4.5236e-01	0.0000e+00	0.0000e+00
9.0300e+02	1.8630e+03	8.5842e-01	-1.4229e-01	0.0000e+00	0.0000e+00
9.5100e+02	1.8630e+03	1.4713e-01	-1.5899e-01	0.0000e+00	0.0000e+00
9.9900e+02	1.8630e+03	-7.8290e-02	6.2281e-01	0.0000e+00	0.0000e+00
1.0470e+03	1.8630e+03	1.6849e-02	1.8881e+00	0.0000e+00	0.0000e+00
1.0950e+03	1.8630e+03	-5.1085e-01	6.0656e-01	0.0000e+00	0.0000e+00
1.1430e+03	1.8630e+03	-1.6097e-02	3.3475e-01	0.0000e+00	0.0000e+00
1.1910e+03	1.8630e+03	2.5018e-01	3.3242e-01	0.0000e+00	0.0000e+00
1.2390e+03	1.8630e+03	4.7424e-01	2.0772e-01	0.0000e+00	0.0000e+00
1.2870e+03	1.8630e+03	5.9650e-01	5.9187e-02	0.0000e+00	0.0000e+00
1.3350e+03	1.8630e+03	1.4344e-01	2.6287e-02	0.0000e+00	0.0000e+00
1.3830e+03	1.8630e+03	2.2209e-01	1.7456e-02	0.0000e+00	0.0000e+00
1.4310e+03	1.8630e+03	2.9193e-01	1.3884e-01	0.0000e+00	0.0000e+00
1.4790e+03	1.8630e+03	3.0322e-01	2.3942e-01	0.0000e+00	0.0000e+00
1.5270e+03	1.8630e+03	9.2914e-01	6.4815e-01	0.0000e+00	0.0000e+00
1.5750e+03	1.8630e+03	5.6819e-01	5.4027e-01	0.0000e+00	0.0000e+00
1.6230e+03	1.8630e+03	1.2132e+00	2.2396e-01	0.0000e+00	0.0000e+00
1.6710e+03	1.8630e+03	1.0391e+00	3.0253e-02	0.0000e+00	0.0000e+00
1.7190e+03	1.8630e+03	4.9189e-01	-9.0119e-02	0.0000e+00	0.0000e+00
1.7670e+03	1.8630e+03	-2.8177e-01	-3.7507e-01	0.0000e+00	0.0000e+00
1.8150e+03	1.8630e+03	-8.4395e-01	-5.3840e-01	0.0000e+00	0.0000e+00
1.8630e+03	1.8630e+03	-1.0994e+00	-6.1664e-01	0.0000e+00	0.0000e+00
1.9110e+03	1.8630e+03	-1.2530e+00	-7.0314e-01	0.0000e+00	0.0000e+00
1.9590e+03	1.8630e+03	-1.2671e+00	-7.8643e-01	0.0000e+00	0.0000e+00
2.0070e+03	1.8630e+03	-1.3053e+00	-7.1446e-01	0.0000e+00	0.0000e+00
